"tipo","url","descripcion","tema","prioridad","observaciones"
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/gerenciasdecontrol.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 6 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/lienas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/lineasdetransmision.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 5 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/municipios_sin_electrificar.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/municipios.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/presas.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/regiones_gcr.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/regiones.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/regionmarinamx.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/subestaciones.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 5 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Electricidad/usumacinta.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/gerencias_javs_2.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 3 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/mexico.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 2 archivo(s)."
"capa_geojson","https://cdn.sassoapps.com/Mapas/Mixtos/mixtos.geojson","Capa geoespacial usada por visualizadores y análisis del proyecto.","cartografia_energetica","media","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vQ_uIRNruk-Dqg4aV21IPIS04XnhVmJPDJZB8qO94y8UXC6kZvetmMq77SOILJ-joGP-CmEf3KlryqI/pub?gid=388978604&single=true&output=csv","Base de proyectos PVIRCE/DGMESNIE para tableros y reportes.","datos_tabulares","alta","Aparece en 3 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vQytuUc9Cmf9kOvPCmLkYEOObPEP_rM1bSb9_awO0wYqdLAKw4x_b9FLEBSVGoGXKbDuK8nK4ge2cjM/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vR10UgmDt_wncDJa-tV4JT7evpXKDPW8AIEKwSbyzVxAM9zqaob0ncQqh_VBQooRg/pub?output=tsv","Serie para presentación de producción energética (limpia/fósil y tecnologías).","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vR1nKC-3O9-GqftkzwiSwSFO08zU8Opb0M4ZOvr3sj6_Ya-Dk-6BInWjWRLtpzlBA/pub?output=tsv","Serie de generación eléctrica anual en GWh (presentación).","datos_tabulares","alta","Aparece en 7 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vR6orBJGbqI8xr6TkOUaJM7I-8RbE7inbex6PrKWHdgTUif8EBFljKuzFR42OqoroQ87kAGpZt_ry-J/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vR9QhQpXdFeh9ZkNh2WqA28v61ySMz4pISGX0hbZl5QAEU8LTypjCprVndMnkWPok1JdgjujmTV9p9i/pub?output=csv","Datos de segunda convocatoria de particulares (reporte/minutas).","datos_tabulares","alta","Aparece en 10 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vRBhcrQHIMTSx9uf7i-iRPCm1i5JT20AYRqKsMBn-JZa4jHNFUKuftYnU5N0IdeQ3IUeyE_tr8Swnjo/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vRIo6nqNkppQCVqqsUC1LNKSw8n9AyslhakQb_3gB7bccFP1Tb7ssDX1ycdMe0rTSlSrWXpH_CSTMna/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vRmiZTItq8d5z_ljlcWJjvYW1pEZ-TG2sFdOgjJPZZXeXHreDN0EcYOS6APs4L8zmsCjmCxVg4C_y4S/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vRrctgh6EBDr8aCcqVWA5X03JtFm1E0NRb2h6bOrQMqO9qVr58MAgqtnHsRfqjzJgR7VqVtvqNUJRM-/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vS4QU5BVBEHmewrNOLjaKoqca3qH16zYKXzvYfMwhrMiW1mR4yUHNJlbIjDhQuDmWtN803Da7r4SZV6/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSJDiNlfszmpzvZBqBOK1W1U2eC4x8Q3nYfJ_SnGg_h1RqbHdLG6XO34HhDadPNlKvnvB-WUjFOCFwm/gviz/tq?gid=1612312561&tqx=out:json;responseHandler:handleGatSheet","GAT Mixto en formato GViz para carga directa en presentación.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSJDiNlfszmpzvZBqBOK1W1U2eC4x8Q3nYfJ_SnGg_h1RqbHdLG6XO34HhDadPNlKvnvB-WUjFOCFwm/pub?gid=1589427724&single=true&output=csv","Trámites CNE por proyecto (complemento GAT Mixto).","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSJDiNlfszmpzvZBqBOK1W1U2eC4x8Q3nYfJ_SnGg_h1RqbHdLG6XO34HhDadPNlKvnvB-WUjFOCFwm/pub?gid=1612312561&single=true&output=csv","Base principal de seguimiento GAT Mixto.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSR7XevbKi6yGLS8hLXmWnBZIvOWu4xB45B0-VA7CNIleOY_88YGzZf9W_zf0GVIb5k5pHzSI7RE7tY/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSuLWC7WRjRZ-Kicm-0rWJd9beVu4jAwsABNLcixRUCr6XvC0pVvrgPXJW-qh-44AvmLt6gYBDwdoms/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vSVE7N8gjuivL9JiM59vFBjiej5k48foC60TrSRGXjEAbJXvW0NXTZ3Fq0-kWzY73kmMPSq68xtpZE2/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vT2Ffre2ItozEiKEj0Omx5X_2fSiopFjc1lGlBugXZZ6AxhFSwb7BXS8Ufs4qvHGOqcKxUU9thg_nkE/pub?output=csv","Base de segunda convocatoria general.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vT2UP85ZA-LGDtqPac8wIvkmTmhiUHVALbnOL7ffEpy8DDXQNDB8kVFMGvS3p_YvQ/pub?gid=256552368&single=true&output=csv","Serie de energía limpia y participación por tecnología.","datos_tabulares","alta","Aparece en 2 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vTjj424dMUfc6nYoGn50JXLVFY8y1mjJUy27FmdktcPWbUTyLBbPiZcps5xI8-DoOduFYcq4BSUZb_j/pub?gid=618151022&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 1 archivo(s)."
"google_sheet_fuente","https://docs.google.com/spreadsheets/d/e/2PACX-1vTYfjJ8D1nJGd7IFKOzzg_e7Dpn77RyyeQM1MVFLg4pN4CB7TR1hj_5Zt2igXlDiht8p7hVs-aIp3DQ/pub?gid=0&single=true&output=csv","Fuente tabular de datos operativos para dashboards/reportes.","datos_tabulares","alta","Aparece en 2 archivo(s)."
